word,ipa,phonetic
edict, ˈi dɪkt ,EE-dikt
edie, ˈi di ,EE-dee
edification, ˌɛd ə fɪˈkeɪ ʃən ,ed-uh-fi-KEY-shuhn
edifice, ˈɛd ə fɪs ,ED-uh-fis
edify, ˈɛd əˌfaɪ ,ED-uh-fahy
edifying, ˈɛd əˌfaɪ ɪŋ ,ED-uh-fahy-ing
edinburgh," ˈɛd nˌbɜr ə, -ˌbʌr ə, -brə ","ED-n-bur-uh, -buhr-uh, -bruh"
edison, ˈɛd ə sən ,ED-uh-suhn
edit, ˈɛd ɪt ,ED-it
edith, ˈi dɪθ ,EE-dith
edition, ɪˈdɪʃ ən ,ih-DISH-uhn
editor, ˈɛd ɪ tər ,ED-i-ter
editorial," ˌɛd ɪˈtɔr i əl, -ˈtoʊr- ","ed-i-TAWR-ee-uhl, -TOHR-"
edman, ˈɛd mən ,ED-muhn
edmond, ˈɛd mənd ,ED-muhnd
edmonds, ˈɛd məndz ,ED-muhndz
edmonton, ˈɛd mən tən ,ED-muhn-tuhn
edmund, ˈɛdmənd ,
edmunds, ˈɛd məndz ,ED-muhndz
edna, ˈɛd nə ,ED-nuh
edo, ˈɛd oʊ ,ED-oh
edu, ˈiˈdiˈyu ,EE-DEE-YOO
educate, ˈɛdʒ ʊˌkeɪt ,EJ-oo-keyt
educated, ˈɛdʒ ʊˌkeɪ tɪd ,EJ-oo-key-tid
education, ˌɛdʒ ʊˈkeɪ ʃən ,ej-oo-KEY-shuhn
educational, ˌɛdʒ ʊˈkeɪ ʃə nl ,ej-oo-KEY-shuh-nl
educator, ˈɛdʒ ʊˌkeɪ tər ,EJ-oo-key-ter
edutainment, ˌɛdʒ ʊˈteɪn mənt ,ej-oo-TEYN-muhnt
edward, ˈɛd wərd ,ED-werd
edwardian," ɛdˈwɔr di ən, -ˈwɑr- ","ed-WAWR-dee-uhn, -WAHR-"
edwards, ˈɛd wərdz ,ED-werdz
edwin, ˈɛd wɪn ,ED-win
edwina," ɛdˈwi nə, -ˈwɪn ə ","ed-WEE-nuh, -WIN-uh"
ee, iː ,
eejit, ˈiːdʒɪt ,
eek, ik ,eek
eel, il ,eel
eelgrass," ˈilˌgræs, -ˌgrɑs ","EEL-gras, -grahs"
een, in ,een
eerie, ˈɪər i ,EER-ee
eerily, ˈɪər ɪ li ,EER-i-lee
eery, ˈɪər i ,EER-ee
efface, ɪˈfeɪs ,ih-FEYS
effect, ɪˈfɛkt ,ih-FEKT
effective," ɪˈfɛk tɪv, iˈfɛk‐ ","ih-FEK-tiv, ee-FEK‐"
effectively," ɪˈfɛk tɪv li, iˈfɛk‐ ","ih-FEK-tiv-lee, ee-FEK‐"
effectiveness," ɪˈfɛk tɪv nɪs, iˈfɛk‐ ","ih-FEK-tiv-nis, ee-FEK‐"
effector, ɪˈfɛk tər ,ih-FEK-ter
effects, ɪˈfɛkts ,ih-FEKTS
effectual, ɪˈfɛk tʃu əl ,ih-FEK-choo-uhl
effectually, ɪˈfɛktjʊəlɪ ,
effeminacy, ɪˈfɛm ə nə si ,ih-FEM-uh-nuh-see
effendi, ɪˈfɛn di ,ih-FEN-dee
effervescence, ˌɛf ərˈvɛs əns ,ef-er-VES-uhns
effervescent, ˌɛf ərˈvɛs ənt ,ef-er-VES-uhnt
effete, ɪˈfit ,ih-FEET
efficacious, ˌɛf ɪˈkeɪ ʃəs ,ef-i-KEY-shuhs
efficacy, ˈɛf ɪ kə si ,EF-i-kuh-see
efficiency, ɪˈfɪʃ ən si ,ih-FISH-uhn-see
efficient, ɪˈfɪʃ ənt ,ih-FISH-uhnt
efficiently, ɪˈfɪʃ ənt li ,ih-FISH-uhnt-lee
effie, ˈɛf i ,EF-ee
effigy, ˈɛf ɪ dʒi ,EF-i-jee
efflorescence, ˌɛf ləˈrɛs əns ,ef-luh-RES-uhns
efflorescent, ˌɛf ləˈrɛs ənt ,ef-luh-RES-uhnt
effluent, ˈɛf lu ənt ,EF-loo-uhnt
effluvium, ɪˈflu vi əm ,ih-FLOO-vee-uhm
efflux, ˈɛf lʌks ,EF-luhks
effort, ˈɛf ərt ,EF-ert
effortful, ˈɛf ərt fəl ,EF-ert-fuhl
effortless, ˈɛf ərt lɪs ,EF-ert-lis
effrontery, ɪˈfrʌn tə ri ,ih-FRUHN-tuh-ree
effulgence," ɪˈfʌl dʒəns, ɪˈfʊl‑ ","ih-FUHL-juhns, ih-FOOL‑"
effusion, ɪˈfyu ʒən ,ih-FYOO-zhuhn
effusive, ɪˈfyu sɪv ,ih-FYOO-siv
egalitarian, ɪˌgæl ɪˈtɛər i ən ,ih-gal-i-TAIR-ee-uhn
egalitarianism, ɪˌgæl ɪˈtɛər i əˌnɪz əm ,ih-gal-i-TAIR-ee-uh-niz-uhm
eger, ˈeɪ gər ,EY-guhr
egg, ɛg ,eg
eggleston, ˈɛg əl stən ,EG-uhl-stuhn
eggplant," ˈɛgˌplænt, -ˌplɑnt ","EG-plant, -plahnt"
eggshell, ˈɛgˌʃɛl ,EG-shel
eggy, ˈɛg i ,EG-ee
egmont, ˈɛɡmɒnt ,
ego," ˈi goʊ, ˈɛg oʊ ","EE-goh,EG-oh"
egocentric," ˌi goʊˈsɛn trɪk, ˌɛg oʊ- ","ee-goh-SEN-trik, eg-oh-"
egocentrism," ˌɛɡəʊ-, ˌiːɡəʊˈsɛntrɪzəm ",
egoism," ˈi goʊˌɪz əm, ˈɛg oʊ- ","EE-goh-iz-uhm,EG-oh-"
egoist," ˈi goʊ ɪst, ˈɛg oʊ- ","EE-goh-ist,EG-oh-"
egoistic," ˌi goʊˈɪs tɪk, ˌɛg oʊ- ","ee-goh-IS-tik, eg-oh-"
egomania," ˌi goʊˈmeɪ ni ə, -ˈmeɪn yə, ˌɛg oʊ- ","ee-goh-MEY-nee-uh, -MEYN-yuh, eg-oh-"
egomaniac," ˌi goʊˈmeɪ ni æk, ˌɛg oʊ- ","ee-goh-MEY-nee-ak, eg-oh-"
egomaniacal," ˌi goʊ məˈnaɪ ɪ kəl, ˌɛg oʊ- ","ee-goh-muh-NAHY-i-kuhl, eg-oh-"
egot, ˈi gɒt ,EE-got
egotism," ˈi gəˌtɪz əm, ˈɛg ə- ","EE-guh-tiz-uhm,EG-uh-"
egotist," ˈi gə tɪst, ˈɛg ə- ","EE-guh-tist,EG-uh-"
egotistic," ˌi gəˈtɪs tɪk, ˌɛg ə- ","ee-guh-TIS-tik, eg-uh-"
egregious," ɪˈgri dʒəs, -dʒi əs ","ih-GREE-juhs, -jee-uhs"
egress," ˈi grɛs, ɪˈgrɛs ","EE-gres, ih-GRES"
egypt, ˈi dʒɪpt ,EE-jipt
egyptian, ɪˈdʒɪp ʃən ,ih-JIP-shuhn
egyptologist, ˌi dʒɪpˈtɑl ədʒ ɪst ,ee-jip-TAHL-uhj-ist
eh," eɪ, ɛ ","ey, e"
ehrenburg," ˈɛr ənˌbɜrg, -ˌbʊərg, ɛ ryɪnˈburk ","ER-uhn-burg, -boorg, e-ryin-BOORK"
ehrlich, ˈeɪr lɪx ,EYR-likh
ehrlichiosis, ɜrˌlɪk iˈoʊ sɪs ,ur-lik-ee-OH-sis
eichmann," ˈaɪk mən, ˈaɪx-, ˈaɪxˌmɑn ","AHYK-muhn,AHYKH-,AHYKH-mahn"
eid, id ,eed
eider, ˈaɪ dər ,AHY-der
eiderdown, ˈaɪ dərˌdaʊn ,AHY-der-doun
eiffel," ˈaɪ fəl, ɛˈfɛl ","AHY-fuhl, e-FEL"
eiger, ˈaiɡər ,
eight, eɪt ,eyt
eighteen, ˈeɪˈtin ,EY-TEEN
eighteenth, ˈeɪˈtinθ ,EY-TEENTH
eightfold, ˈeɪtˌfoʊld ,EYT-fohld
eighth," eɪtθ, eɪθ ","eytth, eyth"
eights, eɪts ,eyts
eighty, ˈeɪ ti ,EY-tee
eileen," aɪˈlin, eɪˈlin ","ahy-LEEN, ey-LEEN"
eindhoven, ˈaɪntˌhoʊ vən ,AHYNT-hoh-vuhn
einstein," ˈaɪn staɪn, ˈaɪnˌʃtaɪn ","AHYN-stahyn,AHYN-shtahyn"
einsteinian, aɪnˈstaɪ ni ən ,ahyn-STAHY-nee-uhn
eisenhower, ˈaɪ zənˌhaʊ ər ,AHY-zuhn-hou-er
eisenstaedt, ˈaɪ zənˌstæt ,AHY-zuhn-stat
eisenstein," ˈaɪ zənˌstaɪn, ˈaɪ zənˌʃtaɪn, eɪ zyɪnˈʃtyeɪn ","AHY-zuhn-stahyn,AHY-zuhn-shtahyn, ey-zyin-SHTYEYN"
either," ˈi ðər, ˈaɪ ðər ","EE-ther,AHY-ther"
ejaculation, ɪˌdʒæk yəˈleɪ ʃən ,ih-jak-yuh-LEY-shuhn
eject, ɪˈdʒɛkt ,ih-JEKT
ejection, ɪˈdʒɛk ʃən ,ih-JEK-shuhn
eke, ik ,eek
ekman, ˈɛkman ,
el, ɛl ,el
elaborate," ɪˈlæb ər ɪt, ɪˈlæb əˌreɪt ","ih-LAB-er-it, ih-LAB-uh-reyt"
elaborately," ɪˈlæ brɪt li, ɪˈlæ bər ɪt li ","i-LA-brit-lee, i-LA-ber-it-lee"
elaboration, ɪˌlæb əˈreɪ ʃən ,ih-lab-uh-REY-shuhn
elaine, ɪˈleɪn ,ih-LEYN
elam, ˈi ləm ,EE-luhm
elan," eɪˈlɑn, eɪˈlæn, eɪˈlɑ̃ ","ey-LAHN, ey-LAN, ey-LAHN"
eland, ˈi lənd ,EE-luhnd
elastic, ɪˈlæs tɪk ,ih-LAS-tik
elasticity," ɪ læˈstɪs ɪ ti, ˌi læˈstɪs- ","ih-la-STIS-i-tee, ee-la-STIS-"
elastin, ɪˈlæs tɪn ,ih-LAS-tin
elastomer, ɪˈlæs tə mər ,ih-LAS-tuh-mer
elate, ɪˈleɪt ,ih-LEYT
elated, ɪˈleɪ tɪd ,ih-LEY-tid
elation, ɪˈleɪ ʃən ,ih-LEY-shuhn
elba, ˈɛl bə ,EL-buh
elbe," ˈɛl bə, ɛlb ","EL-buh, elb"
elbow, ˈɛl boʊ ,EL-boh
elche, ˈɛl tʃɛ ,EL-che
elder, ˈɛl dər ,EL-der
elderberry," ˈɛl dərˌbɛr i, -bə ri ","EL-der-ber-ee, -buh-ree"
eldercare, ˈɛl dərˌkɛər ,EL-der-kair
elderly, ˈɛl dər li ,EL-der-lee
eldest, ˈɛl dɪst ,EL-dist
eldon, ˈɛldən ,
eldred, ˈɛl drɪd ,EL-drid
eldridge, ˈɛl drɪdʒ ,EL-drij
eleanor," ˈɛl əˌnɔr, -nər ","EL-uh-nawr, -ner"
eleatic, ˌɛl iˈæt ɪk ,el-ee-AT-ik
elect, ɪˈlɛkt ,ih-LEKT
elected, ɪˈlɛk tɪd ,ih-LEK-tid
election, ɪˈlɛk ʃən ,ih-LEK-shuhn
elective, ɪˈlɛk tɪv ,ih-LEK-tiv
elector, ɪˈlɛk tər ,ih-LEK-ter
electoral," ɪˈlɛk tər əl, ˌi lɛkˈtɔr əl ","ih-LEK-ter-uhl, ee-lek-TAWR-uhl"
electorally," iˌlɛkˈtɔr ə li, ɪˈlɛk tər ə li ","ee-lek-TAWR-uh-lee, i-LEK-ter-uh-lee"
electorate, ɪˈlɛk tər ɪt ,ih-LEK-ter-it
electra, ɪˈlɛk trə ,ih-LEK-truh
electric, ɪˈlɛk trɪk ,ih-LEK-trik
electrical, ɪˈlɛk trɪ kəl ,ih-LEK-tri-kuhl
electrically, ɪˈlɛk trɪk li ,i-LEK-trik-lee
electrician," ɪ lɛkˈtrɪʃ ən, ˌi lɛk- ","ih-lek-TRISH-uhn, ee-lek-"
electricity," ɪ lɛkˈtrɪs ɪ ti, ˌi lɛk- ","ih-lek-TRIS-i-tee, ee-lek-"
electrify, ɪˈlɛk trəˌfaɪ ,ih-LEK-truh-fahy
electro, ɪˈlɛk troʊ ,ih-LEK-troh
electrocardiogram, ɪˌlɛk troʊˈkɑr di əˌgræm ,ih-lek-troh-KAHR-dee-uh-gram
electrochemical, ɪˌlɛk troʊˈkɛm ɪk əl ,i-lek-troh-KEM-ik-uhl
electroclash, ɪˈlɛktrəʊˌklæʃ ,
electrocution, ɪˌlɛk trəˈkyu ʃən ,ih-lek-truh-KYOO-shuhn
electrode, ɪˈlɛk troʊd ,ih-LEK-trohd
electrolysis," ɪ lɛkˈtrɒl ə sɪs, ˌi lɛk- ","ih-lek-TROL-uh-sis, ee-lek-"
electrolyte, ɪˈlɛk trəˌlaɪt ,ih-LEK-truh-lahyt
electromagnet, ɪˌlɛk troʊˈmæg nɪt ,ih-lek-troh-MAG-nit
electromagnetic, ɪˌlɛk troʊ mægˈnɛt ɪk ,ih-lek-troh-mag-NET-ik
electromagnetism, ɪˌlɛk troʊˈmæg nɪˌtɪz əm ,ih-lek-troh-MAG-ni-tiz-uhm
electron, ɪˈlɛk trɒn ,ih-LEK-tron
electronic," ɪ lɛkˈtrɒn ɪk, ˌi lɛk- ","ih-lek-TRON-ik, ee-lek-"
electronica," ɪ lɛkˈtrɒn ɪ kə, ˌi lɛk- ","ih-lek-TRON-i-kuh, ee-lek-"
electronically," ɪˌlɛkˈtrɑ nɪk ə li, əˌlɛk-, ˌi lɛk-, -nɪk li ","i-lek-TRAH-nik-uh-lee,uh-lek-, ee-lek-, -nik-lee"
electronics," ɪ lɛkˈtrɒn ɪks, ˌi lɛk- ","ih-lek-TRON-iks, ee-lek-"
electrophone," ɪˈlɛktrəˌfəʊn, ɪˌlɛktrəˈfɒnɪk ",
electroplating, ĭ-lĕk′trō-plā′tĭng ,
electroshock, ɪˈlɛk trəˌʃɒk ,ih-LEK-truh-shok
electrostatic, ɪˌlɛk trəˈstæt ɪk ,ih-lek-truh-STAT-ik
eleemosynary," ˌɛl əˈmɒs əˌnɛr i, -ˈmɒz-, ˌɛl i ə- ","el-uh-MOS-uh-ner-ee, -MOZ-, el-ee-uh-"
elegance, ˈɛl ɪ gəns ,EL-i-guhns
elegant, ˈɛl ɪ gənt ,EL-i-guhnt
elegiac," ˌɛl ɪˈdʒaɪ ək, -æk, ɪˈli dʒiˌæk ","el-i-JAHY-uhk, -ak, ih-LEE-jee-ak"
elegy, ˈɛl ɪ dʒi ,EL-i-jee
elektra, ɪˈlɛk trə ,ih-LEK-truh
element, ˈɛl ə mənt ,EL-uh-muhnt
elemental, ˌɛl əˈmɛn tl ,el-uh-MEN-tl
elementary," ˌɛl əˈmɛn tə ri, -tri ","el-uh-MEN-tuh-ree, -tree"
elena," ˈɛl ə nə, əˈleɪ nə, ɛˈlɛ nɑ ","EL-uh-nuh,uh-LEY-nuh, e-LE-nah"
elenore," ˈɛl ə nər, -ˌnɔr ","EL-uh-ner, -nawr"
elepaio, ˌɛl əˈpaɪ oʊ ,el-uh-PAHY-oh
elephant, ˈɛl ə fənt ,EL-uh-fuhnt
elephantiasis," ˌɛl ə fənˈtaɪ ə sɪs, -fæn- ","el-uh-fuhn-TAHY-uh-sis, -fan-"
elephantine," ˌɛl əˈfæn tin, -taɪn, -tɪn, ˈɛl ə fənˌtin, -ˌtaɪn ","el-uh-FAN-teen, -tahyn, -tin,EL-uh-fuhn-teen, -tahyn"
elephants, ˈɛlɪfənts ,
eleusis, ɪˈlu sɪs ,ih-LOO-sis
eleuthera, ɪˈlu θər ə ,ih-LOO-ther-uh
elevate," ˈɛl əˌveɪt, ˈɛl əˌveɪt, -vɪt ","EL-uh-veyt,EL-uh-veyt, -vit"
elevated, ˈɛl əˌveɪ tɪd ,EL-uh-vey-tid
elevation, ˌɛl əˈveɪ ʃən ,el-uh-VEY-shuhn
elevator, ˈɛl əˌveɪ tər ,EL-uh-vey-ter
eleven, ɪˈlɛv ən ,ih-LEV-uhn
eleventh, ɪˈlɛv ənθ ,ih-LEV-uhnth
elf, ɛlf ,elf
elfin, ˈɛl fɪn ,EL-fin
elfland, ˈɛlfˌlænd ,ELF-land
elgar," ˈɛl gər, -gɑr ","EL-ger, -gahr"
elgin," ˈɛl dʒɪn, ˈɛl gɪn ","EL-jin,EL-gin"
elgon, ˈɛl gɒn ,EL-gon
eli, ˈi laɪ ,EE-lahy
elia, ˈi li ə ,EE-lee-uh
elias, ɪˈlaɪ əs ,ih-LAHY-uhs
elicit, ɪˈlɪs ɪt ,ih-LIS-it
elicited, ɪˈlɪs ɪ tɪd ,ih-LIS-i-tid
elide, ɪˈlaɪd ,ih-LAHYD
eligible, ˈɛl ɪ dʒə bəl ,EL-i-juh-buhl
elihu," ˈɛl əˌhyu, ɪˈlaɪ hyu ","EL-uh-hyoo, ih-LAHY-hyoo"
elijah, ɪˈlaɪ dʒə ,ih-LAHY-juh
eliminate, ɪˈlɪm əˌneɪt ,ih-LIM-uh-neyt
elimination, ɪˌlɪm əˈneɪ ʃən ,ih-lim-uh-NEY-shuhn
elinor," ˈɛl ə nər, -ˌnɔr ","EL-uh-ner, -nawr"
eliot," ˈɛl i ət, ˈɛl yət ","EL-ee-uht,EL-yuht"
elis, ˈi lɪs ,EE-lis
elisa," ɪˈlɪs ə, ɛˈli sə ","ih-LIS-uh, e-LEE-suh"
elisabeth, ɪˈlɪz ə bəθ ,ih-LIZ-uh-buhth
elise, ɪˈlis ,ih-LEES
elisha, ɪˈlaɪ ʃə ,ih-LAHY-shuh
elision, ɪˈlɪʒ ən ,ih-LIZH-uhn
elissa, ɪˈlɪs ə ,ih-LIS-uh
elite," ɪˈlit, eɪˈlit ","ih-LEET, ey-LEET"
elitism," ɪˈli tɪz əm, eɪˈli- ","ih-LEE-tiz-uhm, ey-LEE-"
elitist," ɪˈli tɪst, eɪˈli‑ ","ih-LEE-tist, ey-LEE‑"
elixir, ɪˈlɪk sər ,ih-LIK-ser
eliza, ɪˈlaɪ zə ,ih-LAHY-zuh
elizabeth, ɪˈlɪz ə bəθ ,ih-LIZ-uh-buhth
elizabethan," ɪˌlɪz əˈbi θən, -ˈbɛθ ən ","ih-liz-uh-BEE-thuhn, -BETH-uhn"
elizabethtown, ɪˈlɪz ə bəθˌtaʊn ,ih-LIZ-uh-buhth-toun
elk, ɛlk ,elk
elkhart," ˈɛlk hɑrt, ˈɛl kɑrt ","ELK-hahrt,EL-kahrt"
elkhound, ˈɛlkˌhaʊnd ,ELK-hound
elkin, ˈɛl kɪn ,EL-kin
ell, ɛl ,el
ella, ˈɛl ə ,EL-uh
ellen, ˈɛl ən ,EL-uhn
ellery, ˈɛl ə ri ,EL-uh-ree
ellington, ˈɛl ɪŋ tən ,EL-ing-tuhn
elliott," ˈɛl i ət, ˈɛl yət ","EL-ee-uht,EL-yuht"
ellipse, ɪˈlɪps ,ih-LIPS
ellipsis, ɪˈlɪp sɪs ,ih-LIP-sis
elliptical, ɪˈlɪp tɪ kəl ,ih-LIP-ti-kuhl
elliptically, ɪˈlɪp tɪk li ,ih-LIP-tik-lee
ellis, ˈɛl ɪs ,EL-is
ellison, ˈɛl ə sən ,EL-uh-suhn
ellsworth, ˈɛlz wɜrθ ,ELZ-wurth
elm, ɛlm ,elm
elmer, ˈɛl mər ,EL-mer
elmhurst, ˈɛlm hɜrst ,ELM-hurst
elmira, ɛlˈmaɪ rə ,el-MAHY-ruh
elocution, ˌɛl əˈkyu ʃən ,el-uh-KYOO-shuhn
eloise," ˈɛl oʊˌiz, ˌɛl oʊˈiz ","EL-oh-eez, el-oh-EEZ"
elongate," ɪˈlɔŋ geɪt, ɪˈlɒŋ-, ˈi lɔŋˌgeɪt, ˈi lɒŋ- ","ih-LAWNG-geyt, ih-LONG-,EE-lawng-geyt,EE-long-"
elongation," ɪ lɔŋˈgeɪ ʃən, ɪ lɒŋ-, ˌi lɔŋ-, ˌi lɒŋ- ","ih-lawng-GEY-shuhn, ih-long-, ee-lawng-, ee-long-"
elope, ɪˈloʊp ,ih-LOHP
elopement, ɪˈloʊp mənt ,ih-LOHP-muhnt
eloquence, ˈɛl ə kwəns ,EL-uh-kwuhns
eloquent, ˈɛl ə kwənt ,EL-uh-kwuhnt
eloquently, ˈɛl ə kwənt li ,EL-uh-kwuhnt-lee
elroy, ˈɛl rɔɪ ,EL-roi
els, ɛls ,
elsa, ˈɛl sə ,EL-suh
else, ɛls ,els
elsewhere," ˈɛlsˌʰwɛər, -ˌwɛər ","ELS-hwair, -wair"
elsie, ˈɛl si ,EL-see
elsinore," ˌɛl səˈnɔr, -ˈnoʊr ","el-suh-NAWR, -NOHR"
elspeth," ˈɛl spɛθ, -spəθ ","EL-speth, -spuhth"
elton, ˈɛl tn ,EL-tn
elucidate, ɪˈlu sɪˌdeɪt ,ih-LOO-si-deyt
elucidation, ɪˌlu sɪˈdeɪ ʃən ,ih-loo-si-DEY-shuhn
elude, ɪˈlud ,ih-LOOD
eluded, ɪˈlu dɪd ,ih-LOO-did
elusive, ɪˈlu sɪv ,ih-LOO-siv
elves, ɛlvz ,elvz
elvira," ɛlˈvaɪr ə, -ˈvɪər ə ","el-VAHYR-uh, -VEER-uh"
elvis, ˈɛl vɪs ,EL-vis
elvish, ˈɛl vɪʃ ,EL-vish
elwood, ˈɛlˌwʊd ,EL-wood
ely," ˈi li, ˈi laɪ ","EE-lee,EE-lahy"
elyot," ˈɛl i ət, ˈɛl yət ","EL-ee-uht,EL-yuht"
elyria, ɪˈlɪər i ə ,ih-LEER-ee-uh
elyse, ɪˈlis ,ih-LEES
elysee, eɪ liˈzeɪ ,ey-lee-ZEY
elysian," ɪˈlɪʒ ən, ɪˈli ʒən ","ih-LIZH-uhn, ih-LEE-zhuhn"
em, ɛm ,em
emaciated, ɪˈmeɪ ʃiˌeɪ tɪd ,ih-MEY-shee-ey-tid
emaciation," ɪˌmeɪ ʃiˈeɪ ʃən, -si- ","ih-mey-shee-EY-shuhn, -see-"
email, ˈiˌmeɪl ,EE-meyl
emanate, ˈɛm əˌneɪt ,EM-uh-neyt
emanating, ˈɛm əˌneɪ tɪŋ ,EM-uh-ney-ting
emanation, ˌɛm əˈneɪ ʃən ,em-uh-NEY-shuhn
emancipate, ɪˈmæn səˌpeɪt ,ih-MAN-suh-peyt
emancipated, ɪˈmæn səˌpeɪ tɪd ,ih-MAN-suh-pey-tid
emancipation, ɪˌmæn səˈpeɪ ʃən ,ih-man-suh-PEY-shuhn
emanuel, ɪˈmæn yu əl ,ih-MAN-yoo-uhl
emarginate," ɪˈmɑr dʒəˌneɪt, -nɪt ","ih-MAHR-juh-neyt, -nit"
emasculate," ɪˈmæs kyəˌleɪt, ɪˈmæs kyə lɪt, -ˌleɪt ","ih-MAS-kyuh-leyt, ih-MAS-kyuh-lit, -leyt"
embalm," ɛmˈbɑm, ɛmˈbɑlm ","em-BAHM, em-BAHLM"
embankment, ɛmˈbæŋk mənt ,em-BANGK-muhnt
embargo, ɛmˈbɑr goʊ ,em-BAHR-goh
embark, ɛmˈbɑrk ,em-BAHRK
embarkation, ˌɛm bɑrˈkeɪ ʃən ,em-bahr-KEY-shuhn
embarrass, ɛmˈbær əs ,em-BAR-uhs
embarrassing, ɪmˈbærəsɪŋ ,
embarrassingly, ɛmˈbær əs ɪŋ li ,em-BAR-uhs-ing-lee
embarrassment, ɛmˈbær əs mənt ,em-BAR-uhs-muhnt
embassy, ˈɛm bə si ,EM-buh-see
embattled, ɛmˈbæt ld ,em-BAT-ld
embed," ɛmˈbɛd, ˈɛmˌbɛd ","em-BED,EM-bed"
embedded, ɛmˈbɛd ɪd ,em-BED-id
embedding, ɛmˈbɛd ɪŋ ,em-BED-ing
embellish, ɛmˈbɛl ɪʃ ,em-BEL-ish
embellishment, ɛmˈbɛl ɪʃ mənt ,em-BEL-ish-muhnt
ember, ˈɛm bər ,EM-ber
embiid, ˈɛm bi ɪd ,EM-bee-id
emblazon, ɛmˈbleɪ zən ,em-BLEY-zuhn
emblem, ˈɛm bləm ,EM-bluhm
emblematic, ˌɛm bləˈmæt ɪk ,em-bluh-MAT-ik
emblematize, ɛmˈblɛm əˌtaɪz ,em-BLEM-uh-tahyz
embodied, ɛmˈbɒd id ,em-BOD-eed
embodiment, ɛmˈbɒd i mənt ,em-BOD-ee-muhnt
embody, ɛmˈbɒd i ,em-BOD-ee
embolden, ɛmˈboʊl dn ,em-BOHL-dn
emboldened, ɛmˈboʊl dnd ,em-BOHL-dnd
embossed, ɪmˈbɒst ,
embrace, ɛmˈbreɪs ,em-BREYS
embracive, ɛmˈbreɪ sɪv ,em-BREY-siv
embroider, ɛmˈbrɔɪ dər ,em-BROI-der
embroidery," ɛmˈbrɔɪ də ri, -dri ","em-BROI-duh-ree, -dree"
embroil, ɛmˈbrɔɪl ,em-BROIL
embroiled, ɛmˈbrɔɪld ,em-BROILD
embryo, ˈɛm briˌoʊ ,EM-bree-oh
embryologist, ˌɛm briˈɒl ə dʒɪst ,em-bree-OL-uh-jist
embryology, ˌɛm briˈɒl ə dʒi ,em-bree-OL-uh-jee
embryonic, ˌɛm briˈɒn ɪk ,em-bree-ON-ik
embryotomy, ˌɛm briˈɒt ə mi ,em-bree-OT-uh-mee
emcee, ˈɛmˈsi ,EM-SEE
emden, ˈɛm dən ,EM-duhn
emeline," ˈɛm əˌlin, -ˌlɪn ","EM-uh-leen, -lin"
emend, ɪˈmɛnd ,ih-MEND
emendation," ˌi mənˈdeɪ ʃən, ˌɛm ən- ","ee-muhn-DEY-shuhn, em-uhn-"
emerald," ˈɛm ər əld, ˈɛm rəld ","EM-er-uhld,EM-ruhld"
emerge, ɪˈmɜrdʒ ,ih-MURJ
emergence, ɪˈmɜr dʒəns ,ih-MUR-juhns
emergency, ɪˈmɜr dʒən si ,ih-MUR-juhn-see
emergent, ɪˈmɜr dʒənt ,ih-MUR-juhnt
emerging, ɪˈmɜr dʒɪŋ ,ih-MUR-jing
emerita, ɪˈmɛr ɪ tə ,ih-MER-i-tuh
emeritus, ɪˈmɛr ɪ təs ,ih-MER-i-tuhs
emerson, ˈɛm ər sən ,EM-er-suhn
emery," ˈɛm ə ri, ˈɛm ri ","EM-uh-ree,EM-ree"
emetic, əˈmɛt ɪk ,uh-MET-ik
emigrant, ˈɛm ɪ grənt ,EM-i-gruhnt
emigration, ˌɛm ɪˈgreɪ ʃən ,em-i-GREY-shuhn
emil," ˈeɪ məl, ˈi məl, ˈeɪ mil ","EY-muhl,EE-muhl,EY-meel"
emile, eɪˈmil ,ey-MEEL
emily, ˈɛm ə li ,EM-uh-lee
eminem, ˌɜmɪˈnɜm ,
eminence, ˈɛm ə nəns ,EM-uh-nuhns
eminent, ˈɛm ə nənt ,EM-uh-nuhnt
eminently, ˈem ə nənt li ,EM-uh-nuhnt-lee
emir," əˈmɪər, eɪˈmɪər, ˈeɪ mɪər ","uh-MEER, ey-MEER,EY-meer"
emirate," əˈmɪər ɪt, -eɪt, eɪˈmɪər-, ˈɛm ər ɪt ","uh-MEER-it, -eyt, ey-MEER-,EM-er-it"
emissary, ˈɛm əˌsɛr i ,EM-uh-ser-ee
emission, ɪˈmɪʃ ən ,ih-MISH-uhn
emit, ɪˈmɪt ,ih-MIT
emitter, ɪˈmɪt ər ,ih-MIT-er
emma, ˈɛm ə ,EM-uh
emmanuel," ɪˈmæn yu əl, ɛ ma nüˈɛl ","ih-MAN-yoo-uhl, e-ma-ny-EL"
emmaus, əˈmeɪ əs ,uh-MEY-uhs
emmeline," ˈɛm əˌlin, -ˌlaɪn ","EM-uh-leen, -lahyn"
emmer, ˈɛm ər ,EM-er
emmet, ˈɛm ɪt ,EM-it
emmett, ˈɛm ɪt ,EM-it
emmy, ˈɛm i ,EM-ee
emo, ˈi moʊ ,EE-moh
emoji, ɪˈmoʊ dʒi ,ih-MOH-jee
emollient, ɪˈmɒl yənt ,ih-MOL-yuhnt
emory, ˈɛm ə ri ,EM-uh-ree
emote, ɪˈmoʊt ,ih-MOHT
emotion, ɪˈmoʊ ʃən ,ih-MOH-shuhn
